representation,clusterer,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise,ari
ConvVAE latent,Agglomerative(k=3),0.14139893651008606,1.9702442125463289,275.74833735903246,3,0,0.08909192317938922
ConvVAE latent,Agglomerative(k=4),0.15151476860046387,1.794109407326891,250.1210995900437,4,0,0.07917515353834151
ConvVAE latent,Agglomerative(k=5),0.14780081808567047,1.667022142583044,237.45882322193896,5,0,0.07483959754705242
ConvVAE latent,Agglomerative(k=6),0.11479296535253525,1.7465677265678339,224.70364513952813,6,0,0.11515805088600475
ConvVAE latent,"DBSCAN(eps=0.5,min_samples=10)",,,,0,1489,
ConvVAE latent,"DBSCAN(eps=0.8,min_samples=10)",,,,0,1489,
ConvVAE latent,"DBSCAN(eps=1.2,min_samples=10)",-0.2592618763446808,2.848647315226563,23.25311263421015,3,1287,0.03710802793671292
Fused(ConvVAE+Lyrics),KMeans(k=2),0.028610551729798317,5.9295316937217315,38.89085124146786,2,0,0.0003873112398027416
Fused(ConvVAE+Lyrics),KMeans(k=3),0.012244394049048424,5.18056931622893,7.505032461195171,3,0,-0.003573245945192282
Fused(ConvVAE+Lyrics),KMeans(k=4),0.023286310955882072,4.911334314440255,17.935743374702724,4,0,-0.0026339845438543867
Fused(ConvVAE+Lyrics),KMeans(k=5),0.023798340931534767,4.59236783542652,14.799108825879298,5,0,-0.0018235366284025745
Fused(ConvVAE+Lyrics),KMeans(k=6),0.02446066588163376,4.547623050709821,13.328865863242312,6,0,0.00023921573623538042
Fused(ConvVAE+Lyrics),Agglomerative(k=2),0.0014495132490992546,9.207478796173177,15.330558006951838,2,0,0.0016318317689763455
Fused(ConvVAE+Lyrics),Agglomerative(k=3),-0.0012507536448538303,7.190473225854166,13.110129587969586,3,0,0.0016165314375120013
Fused(ConvVAE+Lyrics),Agglomerative(k=4),-0.032103341072797775,6.32451778079733,11.824871998796958,4,0,0.002502532085844629
Fused(ConvVAE+Lyrics),Agglomerative(k=5),-0.029250798746943474,5.313335920699649,11.166753245950366,5,0,0.002355519351457416
Fused(ConvVAE+Lyrics),Agglomerative(k=6),-0.034676291048526764,4.602422429541908,10.77214850590384,6,0,0.0023708295813208895
Fused(ConvVAE+Lyrics),"DBSCAN(eps=0.5,min_samples=10)",,,,0,1489,
Fused(ConvVAE+Lyrics),"DBSCAN(eps=0.8,min_samples=10)",,,,0,1489,
Fused(ConvVAE+Lyrics),"DBSCAN(eps=1.2,min_samples=10)",,,,0,1489,
